Average number of iterations: 38112.409
Median of last 9 normalized drift values: 1.4138286309496852E-4
0 => drift 0.7022773560451768, normalized 0.001755693390112942
105 => drift NaN, normalized NaN
106 => drift NaN, normalized NaN
107 => drift NaN, normalized NaN
108 => drift NaN, normalized NaN
109 => drift NaN, normalized NaN
110 => drift NaN, normalized NaN
111 => drift NaN, normalized NaN
112 => drift NaN, normalized NaN
113 => drift NaN, normalized NaN
114 => drift NaN, normalized NaN
115 => drift NaN, normalized NaN
116 => drift NaN, normalized NaN
117 => drift NaN, normalized NaN
118 => drift NaN, normalized NaN
119 => drift NaN, normalized NaN
120 => drift NaN, normalized NaN
121 => drift NaN, normalized NaN
122 => drift NaN, normalized NaN
123 => drift NaN, normalized NaN
124 => drift NaN, normalized NaN
125 => drift NaN, normalized NaN
126 => drift NaN, normalized NaN
127 => drift NaN, normalized NaN
128 => drift NaN, normalized NaN
129 => drift NaN, normalized NaN
130 => drift NaN, normalized NaN
131 => drift NaN, normalized NaN
132 => drift NaN, normalized NaN
133 => drift NaN, normalized NaN
134 => drift NaN, normalized NaN
135 => drift NaN, normalized NaN
136 => drift NaN, normalized NaN
137 => drift NaN, normalized NaN
138 => drift NaN, normalized NaN
139 => drift NaN, normalized NaN
140 => drift NaN, normalized NaN
141 => drift NaN, normalized NaN
142 => drift 0.125, normalized 4.8449612403100775E-4
143 => drift 0.3333333333333333, normalized 0.0012970168612191958
144 => drift 0.8888888888888888, normalized 0.003472222222222222
145 => drift 0.125, normalized 4.901960784313725E-4
146 => drift 0.6428571428571429, normalized 0.002530933633295838
147 => drift 0.625, normalized 0.0024703557312252965
148 => drift 0.6857142857142857, normalized 0.0027210884353741495
149 => drift 0.5370370370370371, normalized 0.0021395897889921797
150 => drift 0.41025641025641024, normalized 0.001641025641025641
151 => drift 0.6371681415929203, normalized 0.002558908199168355
152 => drift 0.44594594594594594, normalized 0.0017981691368788143
153 => drift 0.5, normalized 0.0020242914979757085
154 => drift 0.6952380952380952, normalized 0.0028261711188540457
155 => drift 0.35, normalized 0.0014285714285714286
156 => drift 0.49635036496350365, normalized 0.002034222807227474
157 => drift 0.5967741935483871, normalized 0.002455860878799947
158 => drift 0.5877192982456141, normalized 0.002428592141510802
159 => drift 0.45722713864306785, normalized 0.0018972080441621072
160 => drift 0.4087403598971722, normalized 0.0017030848329048843
161 => drift 0.4079207920792079, normalized 0.0017067815568167694
162 => drift 0.47635135135135137, normalized 0.0020014762661821487
163 => drift 0.39628482972136225, normalized 0.001672087889119672
164 => drift 0.44696969696969696, normalized 0.001893939393939394
165 => drift 0.4614457831325301, normalized 0.0019635990771597026
166 => drift 0.3967181467181467, normalized 0.0016953766953766952
167 => drift 0.39325842696629215, normalized 0.001687804407580653
168 => drift 0.3925399644760213, normalized 0.0016919826055000918
169 => drift 0.3603801169590643, normalized 0.0015600870864028757
170 => drift 0.36252692031586503, normalized 0.0015762040013733263
171 => drift 0.35650224215246634, normalized 0.0015567783500107701
172 => drift 0.34743875278396436, normalized 0.0015238541788770367
173 => drift 0.33007209062821835, normalized 0.0014540620732520632
174 => drift 0.3262752646775746, normalized 0.0014436958614051974
175 => drift 0.31379585326953746, normalized 0.0013946482367535
176 => drift 0.31784305129329243, normalized 0.001418942193273627
177 => drift 0.3004769475357711, normalized 0.0013474302580079422
178 => drift 0.306805905653583, normalized 0.0013820085840251487
179 => drift 0.3014947138169887, normalized 0.0013642294742850169
180 => drift 0.28011564407324124, normalized 0.001273252927605642
181 => drift 0.30064308681672025, normalized 0.001372799483181371
182 => drift 0.2654892877822814, normalized 0.0012178407696434928
183 => drift 0.2585352422907489, normalized 0.0011914066465011472
184 => drift 0.23043712898003238, normalized 0.0010668385600927424
185 => drift 0.2160319699106723, normalized 0.0010047998600496387
186 => drift 0.2637219027705175, normalized 0.0012323453400491472
187 => drift 0.236572265625, normalized 0.0011106679137323943
188 => drift 0.22773446728088825, normalized 0.0010742191852872087
189 => drift 0.2128881327094853, normalized 0.0010089484962534849
190 => drift 0.2096107849532507, normalized 9.981465950154795E-4
191 => drift 0.2015748031496063, normalized 9.644727423426139E-4
192 => drift 0.2139908256880734, normalized 0.001028802046577276
193 => drift 0.2008883504946497, normalized 9.70475123162559E-4
194 => drift 0.1859175753095546, normalized 9.025125015026923E-4
195 => drift 0.1935419968304279, normalized 9.441073016118434E-4
196 => drift 0.1878114220007666, normalized 9.206442254939539E-4
197 => drift 0.17987582176771366, normalized 8.860877919591806E-4
198 => drift 0.1779964221824687, normalized 8.811704068439044E-4
199 => drift 0.17309753483386925, normalized 8.61181765342633E-4
200 => drift 0.15949820788530467, normalized 7.974910394265234E-4
201 => drift 0.18077761627906977, normalized 9.084302325581395E-4
202 => drift 0.16314398943196828, normalized 8.239595425856984E-4
203 => drift 0.16137123745819398, normalized 8.191433373512385E-4
204 => drift 0.15598159509202453, normalized 7.958244647552271E-4
205 => drift 0.14492753623188406, normalized 7.432181345224824E-4
206 => drift 0.14075660242683796, normalized 7.255494970455565E-4
207 => drift 0.1497849621830046, normalized 7.760878869585731E-4
208 => drift 0.13502824858757062, normalized 7.032721280602637E-4
209 => drift 0.13071214685587815, normalized 6.843567898213516E-4
210 => drift 0.13480693136853594, normalized 7.095101650975576E-4
211 => drift 0.12283780396089246, normalized 6.499354706925527E-4
212 => drift 0.12050059594755662, normalized 6.409606167423225E-4
213 => drift 0.11599714761112431, normalized 6.203056021985258E-4
214 => drift 0.12484892434131013, normalized 6.712307760285491E-4
215 => drift 0.1183707596751075, normalized 6.398419441897702E-4
216 => drift 0.11422185625220563, normalized 6.207709578924219E-4
217 => drift 0.10929675593294143, normalized 5.972500324204449E-4
218 => drift 0.11104990635672579, normalized 6.101643206413506E-4
219 => drift 0.10306465155331654, normalized 5.694179643829643E-4
220 => drift 0.10470265710670604, normalized 5.816814283705891E-4
221 => drift 0.09508453044073097, normalized 5.311984940822959E-4
222 => drift 0.09839861084314104, normalized 5.528011845120283E-4
223 => drift 0.09450301204819277, normalized 5.339153223061739E-4
224 => drift 0.09759152215799614, normalized 5.544972849886145E-4
225 => drift 0.09232806735408192, normalized 5.275889563090395E-4
226 => drift 0.0880696815062467, normalized 5.061475948634868E-4
227 => drift 0.08469968566816753, normalized 4.895935587755348E-4
228 => drift 0.08627794826830337, normalized 5.016159783040894E-4
229 => drift 0.08660200841129517, normalized 5.064444936333051E-4
230 => drift 0.07802422526348907, normalized 4.589660309617004E-4
231 => drift 0.08116151866151866, normalized 4.8024567255336485E-4
232 => drift 0.07330939557151406, normalized 4.3636544983044083E-4
233 => drift 0.07485075769171896, normalized 4.482081298905327E-4
234 => drift 0.07427035903560499, normalized 4.4741180141930715E-4
235 => drift 0.07051731389317258, normalized 4.2737765995862166E-4
236 => drift 0.07180623035152901, normalized 4.3784286799712814E-4
237 => drift 0.06870229007633588, normalized 4.214864421861097E-4
238 => drift 0.06838718510405258, normalized 4.2214311792625046E-4
239 => drift 0.06558885383806519, normalized 4.0738418532959743E-4
240 => drift 0.06444196281941798, normalized 4.027622676213624E-4
241 => drift 0.06417011667293941, normalized 4.0358563945244914E-4
242 => drift 0.0584889846743295, normalized 3.7018344730588293E-4
243 => drift 0.06257430698955009, normalized 3.9856246490159295E-4
244 => drift 0.05882700023601605, normalized 3.7709615535907727E-4
245 => drift 0.058149677269291156, normalized 3.751592081889752E-4
246 => drift 0.05751507566276027, normalized 3.734745172906511E-4
247 => drift 0.05688432943346205, normalized 3.7179300283308526E-4
248 => drift 0.051415216826798234, normalized 3.3825800543946206E-4
249 => drift 0.0556015681077798, normalized 3.682223053495351E-4
250 => drift 0.05167488963905479, normalized 3.444992642603653E-4
251 => drift 0.05328021248339974, normalized 3.5758531868053514E-4
252 => drift 0.049451092869152405, normalized 3.341290058726514E-4
253 => drift 0.04932802389248382, normalized 3.355647883842437E-4
254 => drift 0.044672761835792524, normalized 3.059778207930995E-4
255 => drift 0.04651696744271479, normalized 3.2080667201872266E-4
256 => drift 0.04681561138407342, normalized 3.2510841238939873E-4
257 => drift 0.04463121938064632, normalized 3.1210642923528895E-4
258 => drift 0.04447594577832905, normalized 3.1321088576288065E-4
259 => drift 0.04255502063273728, normalized 3.0180865696976796E-4
260 => drift 0.041599135602377095, normalized 2.971366828741221E-4
261 => drift 0.03934010152284264, normalized 2.8302231311397584E-4
262 => drift 0.040102150752164716, normalized 2.905952953055414E-4
263 => drift 0.04007816238634551, normalized 2.9254133128719354E-4
264 => drift 0.0372909447039325, normalized 2.741981228230331E-4
265 => drift 0.03857509129049802, normalized 2.85741416966652E-4
266 => drift 0.03904787376303825, normalized 2.914020430077481E-4
267 => drift 0.03511076398750355, normalized 2.63990706672959E-4
268 => drift 0.03594747793642821, normalized 2.723293783062743E-4
269 => drift 0.0342219766558464, normalized 2.6123646302172825E-4
270 => drift 0.034915076168797056, normalized 2.6857750899074656E-4
271 => drift 0.03203982639775338, normalized 2.4837074726940606E-4
272 => drift 0.032910638016091114, normalized 2.571143595007118E-4
273 => drift 0.03446493193175944, normalized 2.7137741678550737E-4
274 => drift 0.0308110277546232, normalized 2.445319663065333E-4
275 => drift 0.03127944224609007, normalized 2.5023553796872053E-4
276 => drift 0.031915231115764095, normalized 2.5738089609487173E-4
277 => drift 0.030800318412834485, normalized 2.504090927872722E-4
278 => drift 0.030224264039170647, normalized 2.477398691735299E-4
279 => drift 0.029796336466618462, normalized 2.462507146001526E-4
280 => drift 0.030089820359281438, normalized 2.5074850299401197E-4
281 => drift 0.027559819225330635, normalized 2.3159511954059356E-4
282 => drift 0.027441617957794793, normalized 2.3255608438809146E-4
283 => drift 0.027275189599133262, normalized 2.331212786250706E-4
284 => drift 0.025762096251135038, normalized 2.2208703664771586E-4
285 => drift 0.0272853525038804, normalized 2.3726393481635132E-4
286 => drift 0.0269811320754717, normalized 2.3667659715326052E-4
287 => drift 0.025630457741943793, normalized 2.268182101056973E-4
288 => drift 0.02487500310937539, normalized 2.2209824204799455E-4
289 => drift 0.02464280380345497, normalized 2.2200724147256731E-4
290 => drift 0.02607417341517512, normalized 2.3703794013795563E-4
291 => drift 0.02397631255867697, normalized 2.1996617026309146E-4
292 => drift 0.02351379539205461, normalized 2.1772032770420936E-4
293 => drift 0.022422714607934192, normalized 2.0955808044798312E-4
294 => drift 0.021580533834258005, normalized 2.035899418326227E-4
295 => drift 0.020996991475848235, normalized 1.999713473890308E-4
296 => drift 0.022566551056258728, normalized 2.1698606784864162E-4
297 => drift 0.0232210437789095, normalized 2.2544702697970388E-4
298 => drift 0.020913971781745536, normalized 2.0503893903672094E-4
299 => drift 0.021431494604432767, normalized 2.1219301588547293E-4
300 => drift 0.02041975058298692, normalized 2.0419750582986918E-4
301 => drift 0.019987169720540477, normalized 2.018906032377826E-4
302 => drift 0.019375339068433698, normalized 1.9770754151462956E-4
303 => drift 0.01924189256931323, normalized 1.9837002648776526E-4
304 => drift 0.01942260298087079, normalized 2.023187810507374E-4
305 => drift 0.01966406416490691, normalized 2.0699014910428325E-4
306 => drift 0.01933017340589463, normalized 2.056401426159003E-4
307 => drift 0.018982076684564773, normalized 2.0410835144693304E-4
308 => drift 0.017702408165435116, normalized 1.9241748005907735E-4
309 => drift 0.016908747254244214, normalized 1.8581040938729906E-4
310 => drift 0.017928144141562487, normalized 1.9920160157291651E-4
311 => drift 0.016747487876818477, normalized 1.8817402108784807E-4
312 => drift 0.016948863539481985, normalized 1.9260072203956802E-4
313 => drift 0.015791476407914763, normalized 1.8151122307948005E-4
314 => drift 0.015976934594921787, normalized 1.857783092432766E-4
315 => drift 0.016102440976390558, normalized 1.8944048207518302E-4
316 => drift 0.014959861955135418, normalized 1.7809359470399307E-4
317 => drift 0.015520857608948963, normalized 1.8699828444516823E-4
318 => drift 0.014680847968106621, normalized 1.7903473131837343E-4
319 => drift 0.014742752480895975, normalized 1.8200928988760463E-4
320 => drift 0.01464216128187978, normalized 1.8302701602349725E-4
321 => drift 0.013733539037963524, normalized 1.7384226630333575E-4
322 => drift 0.014193970049160296, normalized 1.8197397498923457E-4
323 => drift 0.01372023769053997, normalized 1.7818490507194766E-4
324 => drift 0.012969998689899122, normalized 1.7065787749867266E-4
325 => drift 0.013718698229712892, normalized 1.829159763961719E-4
326 => drift 0.013413318953895928, normalized 1.8126106694453956E-4
327 => drift 0.012752404611758712, normalized 1.74690474133681E-4
328 => drift 0.012373217652785823, normalized 1.7185024517758088E-4
329 => drift 0.011783976149232274, normalized 1.659714950596095E-4
330 => drift 0.011988741840828793, normalized 1.7126774058326847E-4
331 => drift 0.011528902798232696, normalized 1.6708554780047385E-4
332 => drift 0.011293401199781858, normalized 1.6607942940855672E-4
333 => drift 0.01078474636472247, normalized 1.609663636525742E-4
334 => drift 0.01123139834852257, normalized 1.7017270225034198E-4
335 => drift 0.011447204898126718, normalized 1.761108445865649E-4
336 => drift 0.010968599909877235, normalized 1.713843735918318E-4
337 => drift 0.010302911781961155, normalized 1.6353828225335168E-4
338 => drift 0.010419271484537801, normalized 1.6805276587964196E-4
339 => drift 0.00938923143237317, normalized 1.539218267602159E-4
340 => drift 0.009815418879899087, normalized 1.635903146649848E-4
341 => drift 0.009607171307093567, normalized 1.6283341198463673E-4
342 => drift 0.009484207228503887, normalized 1.635208142845498E-4
343 => drift 0.008590784274905098, normalized 1.5071551359482628E-4
344 => drift 0.008802197028378284, normalized 1.5718208979246935E-4
345 => drift 0.00851475975912747, normalized 1.5481381380231762E-4
346 => drift 0.008195767459644574, normalized 1.5177347147489953E-4
347 => drift 0.007905169430198533, normalized 1.4915414019242516E-4
348 => drift 0.008099632794982615, normalized 1.5576216913428106E-4
349 => drift 0.008671195534593916, normalized 1.7002344185478266E-4
350 => drift 0.00830859053369595, normalized 1.66171810673919E-4
351 => drift 0.00754414610546686, normalized 1.5396216541769102E-4
352 => drift 0.007507518712826215, normalized 1.5640663985054616E-4
353 => drift 0.007300450672332542, normalized 1.55328737709203E-4
354 => drift 0.006968350336942688, normalized 1.5148587689005843E-4
355 => drift 0.006704424920447496, normalized 1.489872204543888E-4
356 => drift 0.006645428012315748, normalized 1.510324548253579E-4
357 => drift 0.006299262248565483, normalized 1.464944708968717E-4
358 => drift 0.006347943076952229, normalized 1.5114150183219592E-4
359 => drift 0.006097933173000622, normalized 1.4873007739025907E-4
360 => drift 0.006059244597983085, normalized 1.5148111494957711E-4
361 => drift 0.005800012772800901, normalized 1.487182762256641E-4
362 => drift 0.0057045488220477105, normalized 1.501197058433608E-4
363 => drift 0.0050289353314295826, normalized 1.3591717111971846E-4
364 => drift 0.004947097653337809, normalized 1.374193792593836E-4
365 => drift 0.005169187507107633, normalized 1.4769107163164667E-4
366 => drift 0.00474745264439772, normalized 1.396309601293447E-4
367 => drift 0.004880018683222078, normalized 1.4787935403703267E-4
368 => drift 0.004686370082363659, normalized 1.4644906507386434E-4
369 => drift 0.004311272126463982, normalized 1.3907329440206395E-4
370 => drift 0.00437771139564773, normalized 1.4592371318825767E-4
371 => drift 0.004080951081533493, normalized 1.4072245108736183E-4
372 => drift 0.0038441007837971726, normalized 1.372893137070419E-4
373 => drift 0.00393113999116775, normalized 1.455977774506574E-4
374 => drift 0.0035347631990311087, normalized 1.3595243073196572E-4
375 => drift 0.0033150864754467038, normalized 1.3260345901786814E-4
376 => drift 0.003265937350120882, normalized 1.3608072292170341E-4
377 => drift 0.003178939761785531, normalized 1.3821477225154483E-4
378 => drift 0.0029729479644559596, normalized 1.351339983843618E-4
379 => drift 0.0028816369770735695, normalized 1.3722080843207475E-4
380 => drift 0.0028053717257805247, normalized 1.4026858628902623E-4
381 => drift 0.0025665852121659213, normalized 1.35083432219259E-4
382 => drift 0.00251648207416681, normalized 1.3980455967593387E-4
383 => drift 0.0024735131066482784, normalized 1.455007709793105E-4
384 => drift 0.0022523788222441514, normalized 1.4077367639025946E-4
385 => drift 0.00209563207406802, normalized 1.39708804937868E-4
386 => drift 0.001956713815455107, normalized 1.3976527253250766E-4
387 => drift 0.0016880748842197136, normalized 1.298519141707472E-4
388 => drift 0.0016099563172691537, normalized 1.3416302643909613E-4
389 => drift 0.0015246135814226064, normalized 1.386012346747824E-4
390 => drift 0.00133993115433729, normalized 1.33993115433729E-4
391 => drift 0.0012700244978699439, normalized 1.4111383309666043E-4
392 => drift 0.001128437064038522, normalized 1.4105463300481525E-4
393 => drift 9.314101007081333E-4, normalized 1.330585858154476E-4
394 => drift 8.665811339833125E-4, normalized 1.4443018899721875E-4
395 => drift 6.905571829686501E-4, normalized 1.3811143659373E-4
396 => drift 5.655314523798741E-4, normalized 1.4138286309496852E-4
397 => drift 4.2883724640173387E-4, normalized 1.4294574880057795E-4
398 => drift 2.7471268373983584E-4, normalized 1.3735634186991792E-4
399 => drift 1.4618456100805595E-4, normalized 1.4618456100805595E-4
