Average number of iterations: 70028.913
Median of last 9 normalized drift values: 8.010643902766484E-5
0 => drift 1.7811839323467231, normalized 0.004452959830866808
68 => drift NaN, normalized NaN
69 => drift NaN, normalized NaN
70 => drift NaN, normalized NaN
71 => drift NaN, normalized NaN
72 => drift NaN, normalized NaN
73 => drift NaN, normalized NaN
74 => drift NaN, normalized NaN
75 => drift NaN, normalized NaN
76 => drift NaN, normalized NaN
77 => drift NaN, normalized NaN
78 => drift NaN, normalized NaN
79 => drift NaN, normalized NaN
80 => drift NaN, normalized NaN
81 => drift NaN, normalized NaN
82 => drift NaN, normalized NaN
83 => drift NaN, normalized NaN
84 => drift NaN, normalized NaN
85 => drift NaN, normalized NaN
86 => drift NaN, normalized NaN
87 => drift NaN, normalized NaN
88 => drift NaN, normalized NaN
89 => drift NaN, normalized NaN
90 => drift NaN, normalized NaN
91 => drift NaN, normalized NaN
92 => drift NaN, normalized NaN
93 => drift NaN, normalized NaN
94 => drift NaN, normalized NaN
95 => drift NaN, normalized NaN
96 => drift NaN, normalized NaN
97 => drift NaN, normalized NaN
98 => drift NaN, normalized NaN
99 => drift NaN, normalized NaN
100 => drift NaN, normalized NaN
101 => drift NaN, normalized NaN
102 => drift NaN, normalized NaN
103 => drift NaN, normalized NaN
104 => drift NaN, normalized NaN
105 => drift NaN, normalized NaN
106 => drift NaN, normalized NaN
107 => drift NaN, normalized NaN
108 => drift NaN, normalized NaN
109 => drift NaN, normalized NaN
110 => drift NaN, normalized NaN
111 => drift NaN, normalized NaN
112 => drift 0.75, normalized 0.0026041666666666665
113 => drift 4.0, normalized 0.013937282229965157
114 => drift 1.0, normalized 0.0034965034965034965
115 => drift 0.5, normalized 0.0017543859649122807
116 => drift 0.2631578947368421, normalized 9.266123054114158E-4
117 => drift 0.43243243243243246, normalized 0.0015280297965810333
118 => drift 0.5617977528089888, normalized 0.0019921906127978325
119 => drift 0.5284552845528455, normalized 0.00188062378844429
120 => drift 0.3055555555555556, normalized 0.0010912698412698413
121 => drift 0.43626062322946174, normalized 0.0015636581477758485
122 => drift 0.37176470588235294, normalized 0.0013372831146847227
123 => drift 0.32142857142857145, normalized 0.0011603919546157814
124 => drift 0.3494897959183674, normalized 0.001266267376515824
125 => drift 0.2886297376093295, normalized 0.0010495626822157435
126 => drift 0.31369426751592355, normalized 0.0011448695894741736
127 => drift 0.30670553935860057, normalized 0.0011234635141340681
128 => drift 0.24971687429218573, normalized 9.180767437212711E-4
129 => drift 0.2481335090030742, normalized 9.156218044393882E-4
130 => drift 0.25662650602409637, normalized 9.504685408299866E-4
131 => drift 0.23900826446280993, normalized 8.885065593413009E-4
132 => drift 0.225758030621435, normalized 8.423807112740113E-4
133 => drift 0.22762908894295755, normalized 8.5254340428074E-4
134 => drift 0.20641384576228047, normalized 7.759919013619567E-4
135 => drift 0.2069454287739192, normalized 7.809261463166762E-4
136 => drift 0.2001322459775182, normalized 7.580766893087811E-4
137 => drift 0.19465081723625557, normalized 7.401171758032531E-4
138 => drift 0.1901679142221323, normalized 7.258317336722607E-4
139 => drift 0.16058781869688385, normalized 6.152789988386354E-4
140 => drift 0.17727682596934174, normalized 6.818339460359298E-4
141 => drift 0.16558993539612377, normalized 6.393433799078138E-4
142 => drift 0.15668896321070233, normalized 6.073215628321796E-4
143 => drift 0.16071149945389296, normalized 6.253365737505563E-4
144 => drift 0.1567332474226804, normalized 6.122392477448454E-4
145 => drift 0.1462140992167102, normalized 5.733886243792556E-4
146 => drift 0.1431384428960921, normalized 5.635371767562681E-4
147 => drift 0.14606741573033707, normalized 5.7734156415153E-4
148 => drift 0.13346801346801346, normalized 5.296349740794184E-4
149 => drift 0.1357336956521739, normalized 5.40771695825394E-4
150 => drift 0.12515915457091928, normalized 5.006366182836771E-4
151 => drift 0.12458614347026364, normalized 5.003459577119022E-4
152 => drift 0.11729113334884804, normalized 4.7294811834212917E-4
153 => drift 0.11548208036683963, normalized 4.6753878691028187E-4
154 => drift 0.11553318506379492, normalized 4.696470937552639E-4
155 => drift 0.10925100554408088, normalized 4.459224716084934E-4
156 => drift 0.1082024432809773, normalized 4.4345263639744797E-4
157 => drift 0.09894174458029384, normalized 4.071676731699335E-4
158 => drift 0.09791160757649345, normalized 4.045934197375762E-4
159 => drift 0.09364022924755037, normalized 3.885486690769725E-4
160 => drift 0.09581413210445469, normalized 3.992255504352279E-4
161 => drift 0.09574158502279562, normalized 4.005924059531197E-4
162 => drift 0.08885906040268457, normalized 3.7335739664993517E-4
163 => drift 0.09084348218313036, normalized 3.833058319963306E-4
164 => drift 0.09259775239156683, normalized 3.9236335759138485E-4
165 => drift 0.09336099585062241, normalized 3.972808334069039E-4
166 => drift 0.08598371195885127, normalized 3.674517605079114E-4
167 => drift 0.07802891142879961, normalized 3.348880318832601E-4
168 => drift 0.07985143918291551, normalized 3.4418723785739446E-4
169 => drift 0.0792119018898271, normalized 3.4290866618972774E-4
170 => drift 0.07228397275008963, normalized 3.1427814239169406E-4
171 => drift 0.07305733894177552, normalized 3.1902768096845203E-4
172 => drift 0.0706673342393248, normalized 3.099444484180912E-4
173 => drift 0.07258582542288203, normalized 3.197613454752512E-4
174 => drift 0.06997971602434078, normalized 3.096447611696495E-4
175 => drift 0.07170185631288083, normalized 3.18674916946137E-4
176 => drift 0.06882393876130828, normalized 3.072497266129834E-4
177 => drift 0.067349534712459, normalized 3.0201585072851567E-4
178 => drift 0.0709983702968894, normalized 3.198124788148171E-4
179 => drift 0.065177032223843, normalized 2.949186978454434E-4
180 => drift 0.06234506693108577, normalized 2.833866678685717E-4
181 => drift 0.0645432226385838, normalized 2.947179115917068E-4
182 => drift 0.05954558866922396, normalized 2.7314490215240347E-4
183 => drift 0.059259702206541885, normalized 2.7308618528360315E-4
184 => drift 0.05914419695193435, normalized 2.7381572662932567E-4
185 => drift 0.05652324374206944, normalized 2.6289880810264856E-4
186 => drift 0.05540607325242985, normalized 2.589068843571488E-4
187 => drift 0.054514386506449124, normalized 2.559360868847377E-4
188 => drift 0.05340829234012649, normalized 2.519259072647476E-4
189 => drift 0.05416158293989709, normalized 2.5668996653979665E-4
190 => drift 0.05481791636824417, normalized 2.610376969916389E-4
191 => drift 0.05029526573916525, normalized 2.4064720449361364E-4
192 => drift 0.051218632452207966, normalized 2.462434252509998E-4
193 => drift 0.050610909462706404, normalized 2.4449714716283285E-4
194 => drift 0.049427395766199, normalized 2.3993881439902427E-4
195 => drift 0.047894460111849335, normalized 2.3363151274072847E-4
196 => drift 0.04870869730345613, normalized 2.3876812403654966E-4
197 => drift 0.05118725265569673, normalized 2.521539539689494E-4
198 => drift 0.04639879410240708, normalized 2.2969700050696576E-4
199 => drift 0.04911813971819884, normalized 2.443688543193972E-4
200 => drift 0.043912526950323404, normalized 2.1956263475161701E-4
201 => drift 0.04419501929147668, normalized 2.2208552407777224E-4
202 => drift 0.04547131525548792, normalized 2.2965310735094909E-4
203 => drift 0.04336158793712996, normalized 2.201095834372079E-4
204 => drift 0.04344966678358471, normalized 2.2168197338563627E-4
205 => drift 0.043261951113995244, normalized 2.2185615955894997E-4
206 => drift 0.03975070912069034, normalized 2.0490056247778526E-4
207 => drift 0.03903374833607392, normalized 2.022474007050462E-4
208 => drift 0.041287213623555356, normalized 2.1503757095601747E-4
209 => drift 0.03667845838763731, normalized 1.9203381354783932E-4
210 => drift 0.036975411351451284, normalized 1.9460742816553307E-4
211 => drift 0.03804863244945184, normalized 2.013155156055653E-4
212 => drift 0.03708913236600533, normalized 1.9728261896811343E-4
213 => drift 0.03536464245175937, normalized 1.8911573503614635E-4
214 => drift 0.038234403391883706, normalized 2.0556130855851456E-4
215 => drift 0.036761989211556934, normalized 1.9871345519760505E-4
216 => drift 0.035722033408055534, normalized 1.9414148591334528E-4
217 => drift 0.0347970173985087, normalized 1.9014763605742458E-4
218 => drift 0.03514455752368208, normalized 1.931019644158356E-4
219 => drift 0.03738387773449206, normalized 2.0654076096404453E-4
220 => drift 0.03284050765406254, normalized 1.8244726474479187E-4
221 => drift 0.031685678073510776, normalized 1.7701496130452946E-4
222 => drift 0.03349169446409919, normalized 1.8815558687696176E-4
223 => drift 0.03109117148773295, normalized 1.756563360888867E-4
224 => drift 0.031352261040296696, normalized 1.781378468198676E-4
225 => drift 0.030080836613877452, normalized 1.718904949364426E-4
226 => drift 0.03141475588831696, normalized 1.8054457407078712E-4
227 => drift 0.02832901116247604, normalized 1.637515096096881E-4
228 => drift 0.030784105795022144, normalized 1.7897735927338457E-4
229 => drift 0.02960691221137684, normalized 1.731398374934318E-4
230 => drift 0.028405846751170492, normalized 1.6709321618335582E-4
231 => drift 0.027686259309504694, normalized 1.63824019582868E-4
232 => drift 0.028167430354482333, normalized 1.676632759195377E-4
233 => drift 0.027111461247996523, normalized 1.6234407932932049E-4
234 => drift 0.028329015175241296, normalized 1.7065671792314033E-4
235 => drift 0.026469340123063866, normalized 1.6042024317008404E-4
236 => drift 0.027514336127040143, normalized 1.6777034223804964E-4
237 => drift 0.028009485283861067, normalized 1.718373330298225E-4
238 => drift 0.025160075329566853, normalized 1.553091069726349E-4
239 => drift 0.025351173997744284, normalized 1.5746070806052352E-4
240 => drift 0.0246141111165214, normalized 1.5383819447825875E-4
241 => drift 0.023238433332554827, normalized 1.4615366875820647E-4
242 => drift 0.023558178355629747, normalized 1.4910239465588447E-4
243 => drift 0.02420887979785826, normalized 1.5419668661056216E-4
244 => drift 0.023315033290503447, normalized 1.4945534160579131E-4
245 => drift 0.023033120278907613, normalized 1.4860077599295233E-4
246 => drift 0.021930109975922433, normalized 1.4240331153196384E-4
247 => drift 0.022808514563778512, normalized 1.4907525858678765E-4
248 => drift 0.02170945726356841, normalized 1.428253767340027E-4
249 => drift 0.023161297771619904, normalized 1.5338607795774772E-4
250 => drift 0.021466828841516763, normalized 1.431121922767784E-4
251 => drift 0.021286135189376148, normalized 1.4285996771393387E-4
252 => drift 0.02092041331607647, normalized 1.4135414402754372E-4
253 => drift 0.019053391162711417, normalized 1.2961490586878516E-4
254 => drift 0.020620902190324517, normalized 1.4123905609811311E-4
255 => drift 0.020363414881737894, normalized 1.4043734401198547E-4
256 => drift 0.019734764761604042, normalized 1.370469775111392E-4
257 => drift 0.019493063279283497, normalized 1.3631512782715733E-4
258 => drift 0.019400695240129728, normalized 1.3662461436711075E-4
259 => drift 0.01975206121359511, normalized 1.4008554052195114E-4
260 => drift 0.018836325317075006, normalized 1.3454518083625005E-4
261 => drift 0.018173244341265236, normalized 1.3074276504507364E-4
262 => drift 0.017989246147739165, normalized 1.3035685614303742E-4
263 => drift 0.018345788105238278, normalized 1.3391086208203122E-4
264 => drift 0.016933367200067734, normalized 1.2451005294167452E-4
265 => drift 0.01727294711023595, normalized 1.2794775637211815E-4
266 => drift 0.01714394017712533, normalized 1.279398520680995E-4
267 => drift 0.016226488646330767, normalized 1.2200367403256216E-4
268 => drift 0.016847438033388867, normalized 1.2763210631355204E-4
269 => drift 0.015494305379795672, normalized 1.1827714030378376E-4
270 => drift 0.015009268671889016, normalized 1.1545591286068473E-4
271 => drift 0.01581937039857832, normalized 1.2263077828355285E-4
272 => drift 0.016577866486317074, normalized 1.2951458192435214E-4
273 => drift 0.0150453017351846, normalized 1.1846694279672913E-4
274 => drift 0.015594817432273263, normalized 1.2376839231962908E-4
275 => drift 0.015370455591348366, normalized 1.2296364473078693E-4
276 => drift 0.013879882448709281, normalized 1.1193453587668775E-4
277 => drift 0.014404279131964128, normalized 1.1710796042247258E-4
278 => drift 0.01444364680545585, normalized 1.1839054758570369E-4
279 => drift 0.014336658822170566, normalized 1.184847836543022E-4
280 => drift 0.013178193227872925, normalized 1.0981827689894104E-4
281 => drift 0.013355793526651425, normalized 1.1223355904749097E-4
282 => drift 0.013979038466942033, normalized 1.1846642768594943E-4
283 => drift 0.013598340541493241, normalized 1.1622513283327557E-4
284 => drift 0.012971835923805072, normalized 1.1182617175694028E-4
285 => drift 0.012471458354015686, normalized 1.0844746394796249E-4
286 => drift 0.012551152809661643, normalized 1.1009783166369862E-4
287 => drift 0.011683717828090944, normalized 1.0339573299195527E-4
288 => drift 0.012516902159754872, normalized 1.1175805499781136E-4
289 => drift 0.01203071156520162, normalized 1.0838478887569026E-4
290 => drift 0.011839837571121656, normalized 1.0763488701019687E-4
291 => drift 0.011864245424471048, normalized 1.0884628829789952E-4
292 => drift 0.011322842112393037, normalized 1.048411306703059E-4
293 => drift 0.011138447774547082, normalized 1.0409764275277646E-4
294 => drift 0.011420462997928755, normalized 1.0774021696159202E-4
295 => drift 0.010935799782372144, normalized 1.0415047411782994E-4
296 => drift 0.011093449529250914, normalized 1.0666778393510494E-4
297 => drift 0.01008915766565374, normalized 9.795298704518194E-5
298 => drift 0.010158970013170926, normalized 9.959774522716594E-5
299 => drift 0.010105705681427733, normalized 1.000564918953241E-4
300 => drift 0.0102798459563543, normalized 1.0279845956354301E-4
301 => drift 0.010493080039993686, normalized 1.0599070747468369E-4
302 => drift 0.01006697910171571, normalized 1.027242765481195E-4
303 => drift 0.009671534608071195, normalized 9.970654235124942E-5
304 => drift 0.009879881954657166, normalized 1.0291543702767882E-4
305 => drift 0.009931731783532034, normalized 1.0454454508981087E-4
306 => drift 0.009255231519616464, normalized 9.845990978315387E-5
307 => drift 0.009133090028793076, normalized 9.820526912680726E-5
308 => drift 0.008781336802503429, normalized 9.544931307068945E-5
309 => drift 0.00884635099068526, normalized 9.721264824928858E-5
310 => drift 0.00839711239597607, normalized 9.330124884417855E-5
311 => drift 0.008722916046312028, normalized 9.801029265519132E-5
312 => drift 0.007895172283375225, normalized 8.971786685653665E-5
313 => drift 0.00792499250871355, normalized 9.109186791624769E-5
314 => drift 0.008547155682180084, normalized 9.938553118814051E-5
315 => drift 0.008436469168923422, normalized 9.925257845792261E-5
316 => drift 0.008133998644333559, normalized 9.683331719444713E-5
317 => drift 0.007813107967191172, normalized 9.413383093001413E-5
318 => drift 0.00786838902194825, normalized 9.595596368229573E-5
319 => drift 0.00762798099508045, normalized 9.417260487753641E-5
320 => drift 0.007476078781786366, normalized 9.345098477232958E-5
321 => drift 0.007192431747494528, normalized 9.104343984170288E-5
322 => drift 0.007044646776454596, normalized 9.031598431352045E-5
323 => drift 0.006943723303356941, normalized 9.01782247189213E-5
324 => drift 0.00709587233106502, normalized 9.336674119822395E-5
325 => drift 0.007187515738429107, normalized 9.583354317905476E-5
326 => drift 0.006372389709865096, normalized 8.611337445763644E-5
327 => drift 0.0062115667089899665, normalized 8.508995491767077E-5
328 => drift 0.006508086297224301, normalized 9.039008746144863E-5
329 => drift 0.00628251999550803, normalized 8.848619711983141E-5
330 => drift 0.005959568185350341, normalized 8.513668836214773E-5
331 => drift 0.005692254326056422, normalized 8.249643950806409E-5
332 => drift 0.005915861979027736, normalized 8.699797027981965E-5
333 => drift 0.005597904431767827, normalized 8.355081241444518E-5
334 => drift 0.005631772206077809, normalized 8.532988191026982E-5
335 => drift 0.005945041132774571, normalized 9.146217127345493E-5
336 => drift 0.005584199607326203, normalized 8.725311886447192E-5
337 => drift 0.005451344028870318, normalized 8.652927029952885E-5
338 => drift 0.005170357309547269, normalized 8.339285983140757E-5
339 => drift 0.005415952737434395, normalized 8.878611044974417E-5
340 => drift 0.004846385586005152, normalized 8.077309310008588E-5
341 => drift 0.004836478656619688, normalized 8.197421451897776E-5
342 => drift 0.004866132689706183, normalized 8.389883947769282E-5
343 => drift 0.004812829077188153, normalized 8.443559784540618E-5
344 => drift 0.004641974392624779, normalized 8.289239986829962E-5
345 => drift 0.004557868488596194, normalized 8.287033615629445E-5
346 => drift 0.004421333262943948, normalized 8.187654190636941E-5
347 => drift 0.00446148889326436, normalized 8.417903572196905E-5
348 => drift 0.004475004479483963, normalized 8.605777845161467E-5
349 => drift 0.004088832861282559, normalized 8.017319335848155E-5
350 => drift 0.00411346584177965, normalized 8.2269316835593E-5
351 => drift 0.004056622507162918, normalized 8.278821443189628E-5
352 => drift 0.003807285725730461, normalized 7.93184526193846E-5
353 => drift 0.003831095341510415, normalized 8.151266684064713E-5
354 => drift 0.0036824198548411472, normalized 8.005260554002494E-5
355 => drift 0.003751325705762651, normalized 8.336279346139224E-5
356 => drift 0.0034756737593582515, normalized 7.899258543996026E-5
357 => drift 0.003421437346858935, normalized 7.956831039206826E-5
358 => drift 0.0034724147490989743, normalized 8.267654164521367E-5
359 => drift 0.0032117612708435607, normalized 7.833564075228196E-5
360 => drift 0.0030966737026884195, normalized 7.741684256721049E-5
361 => drift 0.003215951635177811, normalized 8.246029833789259E-5
362 => drift 0.003090248240661975, normalized 8.132232212268355E-5
363 => drift 0.002943041240913581, normalized 7.954165515982651E-5
364 => drift 0.002790453915695397, normalized 7.751260876931659E-5
365 => drift 0.002654622447785332, normalized 7.584635565100949E-5
366 => drift 0.0027548058040434945, normalized 8.102370011892631E-5
367 => drift 0.0024517744073037843, normalized 7.429619416072074E-5
368 => drift 0.002571243256599267, normalized 8.035135176872709E-5
369 => drift 0.002471760140395976, normalized 7.973419807728955E-5
370 => drift 0.002329347457902381, normalized 7.76449152634127E-5
371 => drift 0.0023290598790761475, normalized 8.031240962331542E-5
372 => drift 0.0021142140726317102, normalized 7.55076454511325E-5
373 => drift 0.002095595071695259, normalized 7.76146322850096E-5
374 => drift 0.0020088396990158896, normalized 7.726306534676498E-5
375 => drift 0.0019547049041939977, normalized 7.818819616775991E-5
376 => drift 0.0018794025003570866, normalized 7.830843751487861E-5
377 => drift 0.001775041846611534, normalized 7.717573246137103E-5
378 => drift 0.001748697648254971, normalized 7.948625673886231E-5
379 => drift 0.0015986111266531637, normalized 7.612433936443636E-5
380 => drift 0.0014478631711388747, normalized 7.239315855694373E-5
381 => drift 0.0013977931937685568, normalized 7.356806282992404E-5
382 => drift 0.001325225758364081, normalized 7.362365324244894E-5
383 => drift 0.0012228245901579145, normalized 7.19308582445832E-5
384 => drift 0.0012043843923333294, normalized 7.527402452083309E-5
385 => drift 0.0011226116437279689, normalized 7.484077624853126E-5
386 => drift 0.00115023574081508, normalized 8.215969577250572E-5
387 => drift 9.929944243363073E-4, normalized 7.638418648740826E-5
388 => drift 8.95717039404384E-4, normalized 7.4643086617032E-5
389 => drift 8.567761569476835E-4, normalized 7.78887415406985E-5
390 => drift 7.536477228749057E-4, normalized 7.536477228749057E-5
391 => drift 7.117746440415716E-4, normalized 7.908607156017462E-5
392 => drift 6.1135953754537E-4, normalized 7.641994219317125E-5
393 => drift 5.55374133338665E-4, normalized 7.933916190552357E-5
394 => drift 4.907638248169451E-4, normalized 8.179397080282418E-5
395 => drift 3.991971347226458E-4, normalized 7.983942694452916E-5
396 => drift 3.3513221133303194E-4, normalized 8.378305283325799E-5
397 => drift 2.3980930364174408E-4, normalized 7.993643454724803E-5
398 => drift 1.7303738403467116E-4, normalized 8.651869201733558E-5
399 => drift 8.010643902766484E-5, normalized 8.010643902766484E-5
