Average number of iterations: 118543.763
Median of last 9 normalized drift values: 5.0614684980274447E-5
0 => drift 0.6612104436298347, normalized 8.265130545372934E-4
418 => drift 0.1349701393497014, normalized 3.5332497211963714E-4
419 => drift 0.13131313131313133, normalized 3.446538879609746E-4
420 => drift 0.12479679879954983, normalized 3.28412628419868E-4
421 => drift 0.12226052696380202, normalized 3.225871423847019E-4
422 => drift 0.12487231869254341, normalized 3.3035004945117306E-4
423 => drift 0.11346307044497553, normalized 3.0096305157818444E-4
424 => drift 0.12625152625152625, normalized 3.357753357753358E-4
425 => drift 0.11746185517074352, normalized 3.132316137886494E-4
426 => drift 0.11272768931149044, normalized 3.0141093398794233E-4
427 => drift 0.12276919391543897, normalized 3.29139930068201E-4
428 => drift 0.11336126629422719, normalized 3.047345868124387E-4
429 => drift 0.1172739852398524, normalized 3.1610238609124634E-4
430 => drift 0.11103663985701519, normalized 3.000990266405816E-4
431 => drift 0.11387419826713177, normalized 3.086021633255604E-4
432 => drift 0.11365730078304928, normalized 3.0885136082350347E-4
433 => drift 0.11318864774624374, normalized 3.084159339134707E-4
434 => drift 0.10875361030882026, normalized 2.9714101177273297E-4
435 => drift 0.10131275678925744, normalized 2.775691966828971E-4
436 => drift 0.10502087570923883, normalized 2.885188893110957E-4
437 => drift 0.09806190338443738, normalized 2.701429845301305E-4
438 => drift 0.09888738691899761, normalized 2.731695771243028E-4
439 => drift 0.09995119570522205, normalized 2.76873118297014E-4
440 => drift 0.09923213230950975, normalized 2.756448119708604E-4
441 => drift 0.0971107544141252, normalized 2.7050349418976377E-4
442 => drift 0.09634712021646695, normalized 2.691260341242094E-4
443 => drift 0.0992686494392979, normalized 2.7806344380755716E-4
444 => drift 0.09827213822894168, normalized 2.7604533210376874E-4
445 => drift 0.09628528974739971, normalized 2.712261683025344E-4
446 => drift 0.09618700900555661, normalized 2.717147147049622E-4
447 => drift 0.09347641909065235, normalized 2.648057198035477E-4
448 => drift 0.09034267912772585, normalized 2.566553384310394E-4
449 => drift 0.08856482304819491, normalized 2.523214331857405E-4
450 => drift 0.0855353466026081, normalized 2.443867045788803E-4
451 => drift 0.08539130434782609, normalized 2.4467422449233836E-4
452 => drift 0.08675065528029086, normalized 2.4928349218474385E-4
453 => drift 0.08186562296151337, normalized 2.3592398547986562E-4
454 => drift 0.08357348703170028, normalized 2.4154187003381584E-4
455 => drift 0.08171206225680934, normalized 2.3684655726611403E-4
456 => drift 0.08276708964388048, normalized 2.406020047787223E-4
457 => drift 0.08005217249531263, normalized 2.3338825800382692E-4
458 => drift 0.07989199491740788, normalized 2.3360232431990607E-4
459 => drift 0.07675591773379899, normalized 2.2509066784105275E-4
460 => drift 0.07339518180457878, normalized 2.158681817781729E-4
461 => drift 0.07624434389140272, normalized 2.2490956900118796E-4
462 => drift 0.07619343803452029, normalized 2.2542437288319614E-4
463 => drift 0.07023692695920371, normalized 2.0841818088784483E-4
464 => drift 0.07097591888466413, normalized 2.1123785382340515E-4
465 => drift 0.07428361498897869, normalized 2.2174213429545877E-4
466 => drift 0.0678940524262542, normalized 2.0327560606662933E-4
467 => drift 0.0704534201032751, normalized 2.1157183214196726E-4
468 => drift 0.06855791962174941, normalized 2.0649975789683558E-4
469 => drift 0.06987295825771325, normalized 2.1109655062753247E-4
470 => drift 0.07243371352392239, normalized 2.194961015876436E-4
471 => drift 0.06844854487483888, normalized 2.0805028837337047E-4
472 => drift 0.06491056910569105, normalized 1.9789807654174103E-4
