Average number of iterations: 159899.421
Median of last 9 normalized drift values: 4.004471072041356E-5
0 => drift 1.178595096090126, normalized 0.0014732438701126574
371 => drift 0.05782552541974874, normalized 1.3479143454486886E-4
372 => drift 0.057375171781951444, normalized 1.3405413967745665E-4
373 => drift 0.054867830693551, normalized 1.2849609061721547E-4
374 => drift 0.05917924029824458, normalized 1.389184044559732E-4
375 => drift 0.0547721119133574, normalized 1.2887555744319387E-4
376 => drift 0.054965509690134674, normalized 1.2963563606163838E-4
377 => drift 0.05623175634741422, normalized 1.3293559420192487E-4
378 => drift 0.05719326200773959, normalized 1.3552905689037816E-4
379 => drift 0.05396739130434783, normalized 1.281885779200661E-4
380 => drift 0.05231885582080135, normalized 1.245687043352413E-4
381 => drift 0.05368516833484986, normalized 1.2812689340059634E-4
382 => drift 0.054112320793359925, normalized 1.2945531290277495E-4
383 => drift 0.05147991543340381, normalized 1.2345303461247915E-4
384 => drift 0.051885070657558534, normalized 1.2472372754220802E-4
385 => drift 0.05326287978863937, normalized 1.2834428864732378E-4
386 => drift 0.05218625183939458, normalized 1.2605374840433473E-4
387 => drift 0.05212455738387836, normalized 1.26209582043289E-4
388 => drift 0.050849165952728925, normalized 1.234203057105071E-4
389 => drift 0.05179054757443265, normalized 1.2601106465798698E-4
390 => drift 0.049597922181709206, normalized 1.2097054190660782E-4
391 => drift 0.04772564896403906, normalized 1.1668862827393413E-4
392 => drift 0.047015765765765764, normalized 1.1523472001413177E-4
393 => drift 0.04820493103282549, normalized 1.1843963398728622E-4
394 => drift 0.046353609159026386, normalized 1.1417145113060686E-4
395 => drift 0.04875568897065943, normalized 1.2038441721150477E-4
396 => drift 0.046774498675747254, normalized 1.1577846206868132E-4
397 => drift 0.045710106504548154, normalized 1.1342458189714182E-4
398 => drift 0.046270942590615864, normalized 1.1510184724033797E-4
399 => drift 0.04683819114046838, normalized 1.1680346917822539E-4
400 => drift 0.04650074850299401, normalized 1.1625187125748502E-4
401 => drift 0.04510144397733504, normalized 1.1303620044444871E-4
402 => drift 0.0456998920474991, normalized 1.1482384936557563E-4
403 => drift 0.04433233626501183, normalized 1.1166835331237238E-4
404 => drift 0.04887254427562179, normalized 1.2341551584752977E-4
405 => drift 0.04554236820314656, normalized 1.1529713469151028E-4
406 => drift 0.04487938097405553, normalized 1.1390705830978561E-4
407 => drift 0.04278187565858799, normalized 1.0885973450022389E-4
408 => drift 0.04220888964002028, normalized 1.0767573887760275E-4
409 => drift 0.04218539703903096, normalized 1.0789104102053953E-4
410 => drift 0.04059234152443207, normalized 1.0408292698572326E-4
